Name of the Pose,Description,Difficulty Level,Duration,Benefits,Ankles,Arms,Back,Calves,Chest,Core,Entire body,Feet,Glutes,Groin,Hamstrings,Hip flexors,Hips,Knees,Legs,Lower back,Shoulders,Spine,Thighs,Throat,,Ankle injury,Back injury,Carpal tunnel syndrome,Hamstring injury,Heart problems,High blood pressure,Hip flexor strain,Hip injury,Hip or knee injury,Knee injury,Low blood pressure,Lower back injury,Neck injury,Neck problems,Pregnancy,Sciatica,Shoulder injury,Wrist injury
Tadasana,A foundational standing pose that improves posture and balance.,Beginner,1-3 mins,Improves posture and balance.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vrikshasana,"A balancing pose resembling a tree, enhancing stability and focus.",Beginner,1-2 mins,Strengthens legs and improves balance.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adho Mukha Svanasana,"Downward-facing dog pose, a full-body stretch that invigorates.",Beginner,1-3 mins,Stretches the whole body and improves circulation.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trikonasana,Triangle pose for stretching and strengthening the legs and torso.,Beginner,1-2 mins,Stretches and strengthens the legs.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Virabhadrasana I,Warrior pose that builds strength and stability.,Intermediate,1-2 mins,Strengthens legs and opens hips.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Virabhadrasana II,A powerful standing warrior pose for stamina and focus.,Intermediate,1-2 mins,Increases stamina and concentration.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Virabhadrasana III,Balancing warrior pose that challenges balance and coordination.,Intermediate,1-2 mins,Improves balance and coordination.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Utthita Parsvakonasana,Side angle pose for deep stretching and strengthening.,Intermediate,1-2 mins,Strengthens legs and stretches the side body.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Parivrtta Trikonasana,Revolved triangle pose that stretches and improves balance.,Intermediate,1-2 mins,"Stretches the legs and spine, improves balance.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Parivrtta Parsvakonasana,Revolved side angle pose for deeper stretching and strength.,Intermediate,1-2 mins,"Stretches and strengthens the legs, opens hips.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
